category,name,min,max,,,,,
area,center-north,18,18,,,,,
area,center-south,15,15,,,,,
area,east,11,11,,,,,
area,south-west,5,5,,,,,
area,south,5,5,,,,,
area,west,6,6,,,,,
age,18-21,0,0,,,,,
age,22-29,7,7,,,,,
age,30-39,8,8,,,,,
age,40-49,11,11,,,,,
age,50-59,11,11,,,,,
age,60-69,12,12,,,,,
age,70+,11,11,,,,,
gender,male,30,30,,,,,
gender,female,30,30,,,,,
education,12-9,18,18,,,,,
education,15-13,20,20,,,,,
education,16+,22,22,,,,,
religiousness,secular,37,37,,,,,
religiousness,traditional,15,15,,,,,
religiousness,religious,8,8,,,,,
